table_ID,English,Simpl. Chinese,Trad. Chinese,Japanese,Korean,Thai,Vietnamese,Hindi,Indonesian,Malay,,,,,,,,,,,,,,,
LightningSbj0001,10Bet Japan Blackjack,10Bet 日本二十一,10Bet 日本二十一點,10BETジャパン ブラックジャック,10베팅 일본 블랙잭,10Bet แบล็คแจ็คญี่ปุ่น,10Bet Blackjack Nhật Bản,10बेट जापान ब्लैकजैक,Blackjack Jepang 10Bet,,,,,,,,,,,,,,,,
#N/A,1x VIP Blackjack,1x二十一点尊贵,1x二十一點VIP,1x VIP ブラックジャック,1x VIP 블랙잭,1x วีไอพีแบล็คแจ็ค,1x VIP Blackjack,1x वीआईपी ब्लैकजैक,Blackjack 1x VIP,Blackjack 1x VIP,,,,,,,,,,,,,,,
#N/A,1xFootball Studio,1x 足球扑克,1x 足球廳,1x フットボールスタジオ,1x풋볼 스튜디오,1x สตูดิโอฟุตบอล,1xStudio Bóng Đá,1xफुटबॉल स्टूडियो,,1x Studio Bola Sepak,,,,,,,,,,,,,,,
DHPTable00000001,2 Hand Casino Hold'em,二手牌赌场德州扑克,兩手牌賭場德州撲克,2ハンド・カジノホールデム,투 핸드 카지노 홀덤,2 แฮนด์ คาสิโน โฮลด์เด็ม,Sòng Bạc 2 Tay Hold'Em,2 हैंड कैसीनो होल्डम,2 Hand Casino Hold'em,2 Hand Casino Hold'em,,,,,,,,,,,,,,,
#N/A,888 Azzurri,888 Azzurri,888 Azzurri,888　アズーリ,888 아주리,888 อาซูรี,888 Azzurri,888 आत्जुरी,888 Azzurri,888 Azzurri,,,,,,,,,,,,,,,
#N/A,888 Vittoria,888 Vittoria,888 Vittoria,888　ビットリア,888 비토리아,888 วิตตอเรีย,888 Vittoria,888 विट्टोरिया,888 Vittoria,888 Vittoria,,,,,,,,,,,,,,,
#N/A,AMERICAN (DOUBLE ZERO) ROULETTE,美式(双0)轮盘,美式(雙0)輪盤,,,,,,,,,,,,,,,,,,,,,,
AmericanTable001,American Roulette,美式轮盘,美式輪盤,アメリカンルーレット,아메리칸 룰렛,อเมริกัน รูเล็ต,Cò Quay Kiểu Mỹ,अमेरिकन रूलेट ,Roulette Amerika,Rolet Amerika,,,,,,,,,,,,,,,
#N/A,Arabic Roulette,阿拉伯语轮盘,阿拉伯語輪盤,アラブ ルーレット,아랍 룰렛,รูเล็ตต์อาราบิก,Roulette Kiểu Ả-rập,,,,,,,,,,,,,,,,,,
